[2026-07-01T22:51:44.608Z] GET /api/admin/alerts/check | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 200 | 47ms | Body: undefined
[2026-07-01T22:52:29.471Z] GET /api/admin/alerts/check | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 16ms | Body: undefined
[2026-07-01T22:52:35.719Z] GET /api/admin/alerts/check | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 7ms | Body: undefined
[2026-07-01T22:52:37.469Z] GET /api/admin/alerts/check | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 18ms | Body: undefined
[2026-07-01T22:52:37.472Z] GET /api/admin/rtp | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 18ms | Body: undefined
[2026-07-01T22:52:37.609Z] GET /api/admin/dashboard | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 168ms | Body: undefined
[2026-07-01T22:52:44.900Z] GET /api/admin/players?page=1&search= | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 16ms | Body: undefined
[2026-07-01T22:52:44.908Z] GET /api/admin/players?page=1&search= | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 6ms | Body: undefined
[2026-07-01T22:52:48.218Z] GET /api/admin/transactions?page=1 | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 12ms | Body: undefined
[2026-07-01T22:52:48.225Z] GET /api/admin/transactions?page=1 | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 4ms | Body: undefined
[2026-07-01T22:52:54.074Z] GET /api/admin/payments?page=1&status= | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 8ms | Body: undefined
[2026-07-01T22:52:54.081Z] GET /api/admin/payments?page=1&status= | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 4ms | Body: undefined
[2026-07-01T22:52:56.818Z] GET /api/admin/players?page=1&search= | Admin: 0c989a9b-d13f-4e65-a238-db87aa9b6775 | Status: 304 | 16ms | Body: undefined
